Table 8,,,,,,,,,,,
VIRGINIA,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Petersburg,"31,273",234,19,12,48,155,"1,034",131,760,143,2
Pocahontas,354,0,0,0,0,0,1,0,1,0,0
Poquoson,"12,126",23,0,6,1,16,91,18,72,1,1
Portsmouth,"93,991",889,16,37,230,606,"5,509",846,"4,189",474,11
Pulaski,"8,683",34,0,14,5,15,278,43,214,21,1
Purcellville,"10,346",8,0,1,0,7,37,3,31,3,0
Radford,"18,487",45,1,11,1,32,179,24,152,3,0
Rich Creek,743,1,0,0,0,1,15,1,13,1,0
Richlands,"5,198",16,0,8,0,8,100,16,76,8,2
Richmond,"230,721","1,068",55,45,385,583,"8,074",986,"6,234",854,44
Roanoke,"99,752",386,13,41,106,226,"4,402",519,"3,585",298,25
Rocky Mount,"4,744",20,2,9,3,6,268,10,248,10,1
Rural Retreat,"1,453",0,0,0,0,0,7,2,5,0,0
Salem,"25,590",23,1,3,5,14,559,46,473,40,1
Saltville,"1,910",3,0,0,0,3,16,0,14,2,0
Shenandoah,"2,335",0,0,0,0,0,35,5,27,3,0
Smithfield,"8,485",17,1,0,2,14,150,7,128,15,0
South Boston,"7,601",28,2,3,4,19,339,52,281,6,0
South Hill,"4,335",8,0,0,7,1,135,15,114,6,0
Stanley,"1,670",1,0,0,0,1,8,0,8,0,0
Staunton,"24,931",51,0,18,5,28,473,35,419,19,5
Stephens City,"2,069",1,0,0,0,1,35,6,28,1,0
St. Paul,862,1,0,0,0,1,19,2,16,1,1
Strasburg,"6,686",12,0,2,0,10,66,9,53,4,0
Suffolk,"91,486",270,6,29,67,168,"2,266",196,"1,925",145,5
Tappahannock,"2,391",19,0,1,0,18,71,3,66,2,0
Tazewell,"4,140",9,1,3,0,5,58,10,44,4,0
Timberville,"2,697",4,0,1,0,3,17,1,16,0,0
Victoria,"1,603",3,0,0,0,3,6,1,5,0,1
Vienna,"16,660",20,0,1,5,14,163,2,154,7,0
Vinton,"8,110",27,0,1,2,24,194,18,168,8,0
Virginia Beach,"449,038",581,30,79,196,276,"7,906",530,"6,797",579,34
Warrenton,"9,977",14,0,9,0,5,109,9,95,5,0
Warsaw,"1,488",0,0,0,0,0,10,2,8,0,0
Waverly,"1,949",4,0,1,2,1,28,4,20,4,0
Waynesboro,"22,711",57,2,12,3,40,475,38,397,40,4
Weber City,"1,204",1,0,0,1,0,13,0,13,0,0
West Point,"3,254",3,0,1,0,2,27,9,18,0,0
White Stone,334,0,0,0,0,0,0,0,0,0,0
Williamsburg,"14,965",22,0,3,5,14,197,13,179,5,0
Winchester,"28,201",80,1,39,6,34,657,76,559,22,5
Windsor,"2,763",4,0,1,0,3,23,2,17,4,0
Wise,"2,926",3,0,1,0,2,58,6,47,5,0
Woodstock,"5,267",10,0,4,0,6,125,3,121,1,0
Wytheville,"7,909",5,0,4,1,0,196,22,168,6,1
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
